x,y,bio12
708111,1862026,872
706011,1860676,872
707384,1859099,1021
705348,1856616,1021
706964,1858157,1021
696440,1855586,1337
697000,1855908,1337
699753,1854258,1337
703571,1854534,1402
705368,1856026,840
708568,1854605,840
710600,1856034,1189
692805,1852540,1255
695228,1853387,1255
699139,1853478,1337
700628,1853701,1337
703792,1853183,1402
706357,1853421,840
707323,1853846,840
691403,1850250,1422
694096,1851754,1582
695184,1851030,1582
698155,1850535,1417
700631,1851070,1417
702493,1851320,1412
691298,1847760,1422
693529,1849306,1582
694745,1848488,1582
698326,1849240,1417
700608,1849189,1417
703137,1847315,1085
691101,1846156,1221
693987,1845572,1610
695424,1845544,1610
697508,1845147,1322
700359,1844942,1322
703193,1845159,1085
704745,1846453,1085
693369,1842184,1631
695672,1844513,1610
698063,1842445,1337
699378,1842613,1337
702110,1843514,1085
695688,1842161,1631
698588,1841883,1337
700376,1840342,1337
702829,1841076,1182
694908,1839490,1631
697920,1838909,1337
701475,1838305,1511
701850,1838240,1511
704567,1837441,1511
698894,1836543,1746
699765,1836544,1746
702194,1835369,1511
704692,1835808,1511
